Campionato;GiornoSettimana;GiornoMese;Mese;Casa;Trasferta;GoalCasa;GoalTrasferta
2019/20;Dom;22;Dic;Sassuolo;Napoli;1;2
2019/20;Dom;5;Gen;Brescia;Lazio;1;2
2019/20;Dom;5;Gen;SPAL;Hellas Verona;0;2
2019/20;Dom;5;Gen;Genoa;Sassuolo;2;1
2019/20;Dom;5;Gen;Roma;Torino;0;2
2019/20;Lun;6;Gen;Bologna;Fiorentina;1;1
2019/20;Lun;6;Gen;Milan;Sampdoria;0;0
2019/20;Lun;6;Gen;Atalanta;Parma;5;0
2019/20;Lun;6;Gen;Juventus;Cagliari;4;0
2019/20;Lun;6;Gen;Lecce;Udinese;0;1
2019/20;Lun;6;Gen;Napoli;Inter;1;3
2019/20;Sab;11;Gen;Cagliari;Milan;0;2
2019/20;Sab;11;Gen;Lazio;Napoli;1;0
2019/20;Sab;11;Gen;Inter;Atalanta;1;1
2019/20;Dom;12;Gen;Udinese;Sassuolo;3;0
2019/20;Dom;12;Gen;Fiorentina;SPAL;1;0
2019/20;Dom;12;Gen;Sampdoria;Brescia;5;1
2019/20;Dom;12;Gen;Torino;Bologna;1;0
2019/20;Dom;12;Gen;Hellas Verona;Genoa;2;1
2019/20;Dom;12;Gen;Roma;Juventus;1;2
2019/20;Lun;13;Gen;Parma;Lecce;2;0
2019/20;Sab;18;Gen;Lazio;Sampdoria;5;1
2019/20;Sab;18;Gen;Sassuolo;Torino;2;1
2019/20;Sab;18;Gen;Napoli;Fiorentina;0;2
2019/20;Dom;19;Gen;Milan;Udinese;3;2
2019/20;Dom;19;Gen;Bologna;Hellas Verona;1;1
2019/20;Dom;19;Gen;Brescia;Cagliari;2;2
2019/20;Dom;19;Gen;Lecce;Inter;1;1
2019/20;Dom;19;Gen;Genoa;Roma;1;3
2019/20;Dom;19;Gen;Juventus;Parma;2;1
2019/20;Lun;20;Gen;Atalanta;SPAL;1;2
2019/20;Ven;24;Gen;Brescia;Milan;0;1
2019/20;Sab;25;Gen;SPAL;Bologna;1;3
2019/20;Sab;25;Gen;Fiorentina;Genoa;0;0
2019/20;Sab;25;Gen;Torino;Atalanta;0;7
2019/20;Dom;26;Gen;Inter;Cagliari;1;1
2019/20;Dom;26;Gen;Hellas Verona;Lecce;3;0
2019/20;Dom;26;Gen;Parma;Udinese;2;0
2019/20;Dom;26;Gen;Sampdoria;Sassuolo;0;0
2019/20;Dom;26;Gen;Roma;Lazio;1;1
2019/20;Dom;26;Gen;Napoli;Juventus;2;1
2019/20;Sab;1;Feb;Bologna;Brescia;2;1
2019/20;Sab;1;Feb;Cagliari;Parma;2;2
2019/20;Sab;1;Feb;Sassuolo;Roma;4;2
2019/20;Dom;2;Feb;Juventus;Fiorentina;3;0
2019/20;Dom;2;Feb;Milan;Hellas Verona;1;1
2019/20;Dom;2;Feb;Atalanta;Genoa;2;2
2019/20;Dom;2;Feb;Lazio;SPAL;5;1
2019/20;Dom;2;Feb;Lecce;Torino;4;0
2019/20;Dom;2;Feb;Udinese;Inter;0;2
2019/20;Lun;3;Feb;Sampdoria;Napoli;2;4
2019/20;Mer;5;Feb;Lazio;Hellas Verona;0;0
2019/20;Ven;7;Feb;Roma;Bologna;2;3
2019/20;Sab;8;Feb;Fiorentina;Atalanta;1;2
2019/20;Sab;8;Feb;Torino;Sampdoria;1;3
2019/20;Sab;8;Feb;Hellas Verona;Juventus;2;1
2019/20;Dom;9;Feb;SPAL;Sassuolo;1;2
2019/20;Dom;9;Feb;Brescia;Udinese;1;1
2019/20;Dom;9;Feb;Genoa;Cagliari;1;0
2019/20;Dom;9;Feb;Napoli;Lecce;2;3
2019/20;Dom;9;Feb;Parma;Lazio;0;1
2019/20;Dom;9;Feb;Inter;Milan;4;2
2019/20;Sab;15;Feb;Lecce;SPAL;2;1
2019/20;Sab;15;Feb;Bologna;Genoa;0;3
2019/20;Sab;15;Feb;Atalanta;Roma;2;1
2019/20;Dom;16;Feb;Udinese;Hellas Verona;0;0
2019/20;Dom;16;Feb;Juventus;Brescia;2;0
2019/20;Dom;16;Feb;Sampdoria;Fiorentina;1;5
2019/20;Dom;16;Feb;Sassuolo;Parma;0;1
2019/20;Dom;16;Feb;Cagliari;Napoli;0;1
2019/20;Dom;16;Feb;Lazio;Inter;2;1
2019/20;Lun;17;Feb;Milan;Torino;1;0
2019/20;Ven;21;Feb;Brescia;Napoli;1;2
2019/20;Sab;22;Feb;Bologna;Udinese;1;1
2019/20;Sab;22;Feb;SPAL;Juventus;1;2
2019/20;Sab;22;Feb;Fiorentina;Milan;1;1
2019/20;Dom;23;Feb;Genoa;Lazio;2;3
2019/20;Dom;23;Feb;Roma;Lecce;4;0
2019/20;Sab;29;Feb;Lazio;Bologna;2;0
2019/20;Sab;29;Feb;Napoli;Torino;2;1
2019/20;Dom;1;Mar;Lecce;Atalanta;2;7
2019/20;Dom;1;Mar;Cagliari;Roma;3;4
2019/20;Dom;8;Mar;Parma;SPAL;0;1
2019/20;Dom;8;Mar;Milan;Genoa;1;2
2019/20;Dom;8;Mar;Sampdoria;Hellas Verona;2;1
2019/20;Dom;8;Mar;Udinese;Fiorentina;0;0
2019/20;Dom;8;Mar;Juventus;Inter;2;0
2019/20;Lun;9;Mar;Sassuolo;Brescia;3;0
2019/20;Sab;20;Giu;Torino;Parma;1;1
2019/20;Sab;20;Giu;Hellas Verona;Cagliari;2;1
2019/20;Dom;21;Giu;Atalanta;Sassuolo;4;1
2019/20;Dom;21;Giu;Inter;Sampdoria;2;1
2019/20;Lun;22;Giu;Fiorentina;Brescia;1;1
2019/20;Lun;22;Giu;Lecce;Milan;1;4
2019/20;Lun;22;Giu;Bologna;Juventus;0;2
2019/20;Mar;23;Giu;Hellas Verona;Napoli;0;2
2019/20;Mar;23;Giu;SPAL;Cagliari;0;1
2019/20;Mar;23;Giu;Genoa;Parma;1;4
2019/20;Mar;23;Giu;Torino;Udinese;1;0
2019/20;Mer;24;Giu;Inter;Sassuolo;3;3
2019/20;Mer;24;Giu;Roma;Sampdoria;2;1
2019/20;Mer;24;Giu;Atalanta;Lazio;3;2
2019/20;Ven;26;Giu;Juventus;Lecce;4;0
2019/20;Sab;27;Giu;Brescia;Genoa;2;2
2019/20;Sab;27;Giu;Cagliari;Torino;4;2
2019/20;Sab;27;Giu;Lazio;Fiorentina;2;1
2019/20;Dom;28;Giu;Milan;Roma;2;0
2019/20;Dom;28;Giu;Napoli;SPAL;3;1
2019/20;Dom;28;Giu;Sampdoria;Bologna;1;2
2019/20;Dom;28;Giu;Sassuolo;Hellas Verona;3;3
2019/20;Dom;28;Giu;Udinese;Atalanta;2;3
2019/20;Dom;28;Giu;Parma;Inter;1;2
2019/20;Mar;30;Giu;Torino;Lazio;1;2
2019/20;Mar;30;Giu;Genoa;Juventus;1;3
